country,p,q_BH,significant_FDR
Germany,0.0061706054086077,0.0431942378602539,True
Angola,0.0460423005573785,0.16114805195082474,False
Ghana,0.0726677961010938,0.1688232802199013,False
Morocco,0.0964704458399436,0.1688232802199013,False
France,0.1698524593517751,0.23779344309248512,False
DRC,0.5189345027471529,0.5528817884873145,False
Nigeria,0.5528817884873145,0.5528817884873145,False
