,coint_1
GDP_Growth,-0.022760582858435782
Capital_Formation_lag1,-0.00118686353448697
Inflation_lag1,-0.006035333262543735
Exchange_Rate_lag1,-0.00023820506359614375
Government_Debt_lag1,-0.0005548890564147332
Trade_Balance_lag1,-0.03541622114002093
Reserves_lag1,-0.0052892408491706615
