,coint_1,coint_2,coint_3,coint_4,coint_5,coint_6
GDP_Growth,1.0,-1.2383951761953195e-17,1.805339207288814e-18,3.14489649729199e-17,4.841856886223149e-19,-1.7749503418220307e-16
Capital_Formation_lag1,-7.343281086148559e-16,1.0,-1.2380043819265252e-16,4.564168856640936e-16,-1.9399226181321544e-17,5.2140923952377e-15
Inflation_lag1,6.208779931941596e-17,2.726681651835404e-17,0.9999999999999999,-7.786057512494466e-18,-3.705181181342704e-17,-7.285747460102562e-16
Exchange_Rate_lag1,-1.1792608029283134e-15,2.856487409509285e-17,1.5016322550393622e-17,1.0000000000000002,-4.6783374640111796e-17,-1.0626266071234304e-15
Government_Debt_lag1,9.72775869686481e-16,-6.273328485161042e-17,-1.0730368365582978e-16,3.770118766738987e-16,1.0,-2.463002071549417e-15
Trade_Balance_lag1,2.0264894574854615e-17,-1.0560114010276999e-18,-1.7485975678338578e-19,-1.1263993003899874e-17,-6.703914563818701e-19,0.9999999999999999
Reserves_lag1,-0.14422860033405893,-0.25615138691793693,0.3673202563254286,-0.7220937978640135,-0.06604834502487231,-19.576536373484092
