lag,aic,bic,hqic,fpe,status
1,-14.444478908537704,-11.679797339318904,-13.749169243102294,6.590376960069004e-07,OK
2,-26.54966456585779,-21.342416493011285,-25.322993498222914,2.4311666785028587e-11,OK
