,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,67.6727519421265,0.6146215284667443,1.0592313772176305,0.8459737259759239,85.2001739675163,-2.885869420945867,14.502792593941082
L1.GDP_Growth,0.036682667043288486,0.01953647748489576,-0.013709967740196949,0.00721309407723815,-0.1887624454141914,-0.02005053575754967,-0.008195911981168952
L1.Capital_Formation_lag1,14.402156454639034,0.6840608441300481,0.33023254591628076,-0.7545003567251879,4.809472193123088,-0.5138676071022797,0.5529138770539219
L1.Inflation_lag1,6.929377605935588,0.24957818128775658,-0.1436346565999898,0.2183082816537565,-4.819290774142165,-0.0179723518773669,-0.2960885170760734
L1.Government_Debt_lag1,-7.404683856591229,-0.3759767846928602,0.8017473700602539,0.2494744653043899,-0.22430404272500487,0.27603831331456175,-0.6238759230886075
L1.Trade_Balance_lag1,-0.4479127824944412,-0.02613909913189953,0.03302625435163429,-0.06621283693327203,0.9571306921512533,0.0063021253818116435,0.0416317014058232
L1.Exchange_Rate_lag1,-21.472336032041305,-0.6306868371586893,2.0618815615863606,0.01801167727441691,10.338548728764478,1.6196890130046468,-1.1207400691236502
L1.Reserves_lag1,3.738480501842396,0.0894634334334966,-0.13569884585891798,-0.15254644865865058,1.4317102547337055,-0.16542854302105472,0.2678313495016695
L2.GDP_Growth,-0.6406106703517787,-0.02202278039101713,0.05093345795502381,0.026858436433189026,-0.057083913981392786,0.017384995485664162,-0.08205599973313796
L2.Capital_Formation_lag1,0.007103490945843727,-0.15669971756415463,0.33317528461385193,0.30410499405208274,8.186990944756717,0.6629596608572337,-0.09306971033389462
L2.Inflation_lag1,1.4373363633357652,-0.03427416184422559,-0.6014332860092508,0.04048972840348984,-0.7634993120203282,-0.14119458352800876,0.1874992896164629
L2.Government_Debt_lag1,2.4346151590752774,0.25440991275690195,-0.6804481740119712,0.1924913449322866,-3.2878265009358456,0.024569073864261846,-0.27786574825585525
L2.Trade_Balance_lag1,0.05455255986573204,0.010139589140497531,0.006593614914448924,0.018736143586678366,-0.31640429740547216,0.01235438162441968,-0.037558693000712406
L2.Exchange_Rate_lag1,7.357846465453882,0.9425195187565371,-1.4586480723157147,0.7562460112964768,-14.07722625775814,-0.6486788186529107,1.3251335849927701
L2.Reserves_lag1,-6.9289819091751585,-0.17725878578614468,-0.10284380043723068,-0.08969521894376792,-8.899416910997408,0.3702990355415285,-0.5627377591332258
