lag,aic,bic,hqic,fpe,status
1,-11.747506633435563,-8.982825064216764,-11.052196968000153,9.776658224486485e-06,OK
2,-18.70695102284997,-13.499702950003465,-17.480279955215096,6.192442028494296e-08,OK
