,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,-26.482898475678784,2.9855572242361177,6.0935941621724705,5.108201349510541,-8.24515977026546,6.106440587894596,6.22306579644436
L1.GDP_Growth,-0.29926160102107247,-0.019389915450233143,-0.012624694076176862,-0.07239588719921762,1.4530073263637768,-0.04379493566466517,0.027680819159261016
L1.Capital_Formation_lag1,8.988203751998608,0.015044203256743743,0.9135856570323007,-0.43414291044167935,21.45908199251476,-0.42118774058706127,0.4342257896794032
L1.Inflation_lag1,-0.002711359194508739,0.2247304837843623,0.5157139451431514,0.1252930239131163,-7.155207978750294,-0.2908438658497545,-0.5200917860694725
L1.Government_Debt_lag1,-13.24922573098242,0.11460753910579845,0.5883987281404065,0.659724047382855,10.742047627368292,0.4703905849712471,-0.08712132694551325
L1.Trade_Balance_lag1,-0.29376278155157176,-0.0025618571113728253,0.0237428242831685,0.0022876567708954403,1.191955010177001,0.021824622274980412,0.02651256518803865
L1.Exchange_Rate_lag1,10.46632922333587,0.04453052469689901,-0.6805673381867793,-0.2530390193600411,-17.735299801426574,-0.19966688859310075,-0.014483305549800367
L1.Reserves_lag1,5.8340907930222965,0.0886072802826123,-0.21070800350807606,0.019559263486970402,-4.957010388899205,-0.41372270556058155,0.22863854699349648
L2.GDP_Growth,0.182190340631593,0.012001506087064467,-0.0016034566990793461,-0.02187711587849477,-0.9988538542366647,-0.0445230715981801,-0.04350172318411565
L2.Capital_Formation_lag1,9.218568691705292,-0.08649077082095964,-1.3471337608425784,-0.5948782055159357,-7.426780150348425,-0.16595203344408488,0.2779272189796087
L2.Inflation_lag1,0.29259297607362605,-0.13520485453897796,-0.7537857103447586,0.25110502488395553,-1.5255055031908027,0.1036573619718938,0.049576541555879934
L2.Government_Debt_lag1,6.8080633339898755,-0.021538715042628675,0.711271169386138,-0.29201196872376717,-0.2912780394561512,-0.021966085448669848,-0.6098685282515944
L2.Trade_Balance_lag1,0.18249082127279592,0.012246111333761682,-0.0035565022376439145,0.011751511620852827,-0.6718471587789416,0.0038291433194618217,-0.032731708225525236
L2.Exchange_Rate_lag1,-9.26585691344347,-0.012961846054155315,0.08112860510651632,0.30633787170522825,13.23246886000607,0.8123603016497596,0.24448152224986908
L2.Reserves_lag1,-7.453170736951357,-0.10034978838260286,-0.10573219742177296,-0.039482030816068533,1.881984716066464,0.11424425945302291,0.18849182755635183
