source,target,support,methods,weight_sum,sign_majority
Government_Debt__t-1,GDP_Growth__t,2,"var_fevd,var_irf",79.30571884124143,positive
Capital_Formation__t-1,GDP_Growth__t,1,var_irf,84.58446504720581,positive
Capital_Formation__t-3,Exchange_Rate__t,1,pcmci,0.7379025644118525,positive
Capital_Formation__t-2,Exchange_Rate__t,1,pcmci,0.5879652210534564,positive
Exchange_Rate__t-2,Government_Debt__t,1,pcmci,0.5868791725989869,positive
Exchange_Rate__t-1,Government_Debt__t,1,pcmci,0.5621487860264952,positive
Government_Debt__t-1,Exchange_Rate__t,1,pcmci,0.5042540491843899,positive
Capital_Formation__t-2,Government_Debt__t,1,pcmci,0.4761610895124828,positive
Exchange_Rate__t-1,GDP_Growth__t,1,var_fevd,0.1417182011889743,unknown
