,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,-117.08452569579867,-4.0477996325364565,-3.8654526264653866,7.961235077052087,74.9848195058963,1.9223267437446465,-8.830232034207825
L1.GDP_Growth,0.8056984650134282,0.057004854767870816,-0.20552170107231973,-0.04142830499530148,-0.16024323614193214,-0.018331217610126738,0.162433003982001
L1.Capital_Formation_lag1,4.717268359808832,0.6307033415759952,-1.327819783071552,0.1185243209700447,1.1821497176630262,-0.13919784384326017,0.6557131591133206
L1.Inflation_lag1,-2.9112551301688363,-0.4665196713532307,0.397221521892637,0.12232867020633723,2.661727644109003,0.03425593625667855,-0.24379065533660055
L1.Government_Debt_lag1,9.128892073206266,0.7974589512824399,-0.6726663304132136,0.09802800694158118,-6.6296021715013165,-0.005452398091118464,1.2089537950085192
L1.Trade_Balance_lag1,-0.5746705890365652,-0.10244278946800524,-0.062068118660853974,0.0637554784334313,0.7120286477325788,-0.01548971149336622,-0.11944930437984215
L1.Exchange_Rate_lag1,27.041600657245574,2.667547403287223,-1.163708771048115,-1.6715477065235282,-25.05369733067846,0.6619365143008272,3.3256982379703732
L1.Reserves_lag1,-8.257068969961159,-0.73034568159936,1.0555644393921109,0.18724249082270406,2.916635256682965,0.045110634291332684,-1.0342954436542047
L2.GDP_Growth,0.17337681678835137,0.024312815961908013,-0.1659891858859995,0.00532781587152048,-0.7688268391273287,-0.022465350006625737,0.016495973781079393
L2.Capital_Formation_lag1,1.0422165636950669,-0.32632881839246125,0.8693235711113145,-0.13145260804371062,0.7535378292199644,0.05687198626423698,-0.44449501621954673
L2.Inflation_lag1,1.2508750666925912,0.13009506982595037,-0.3072376470791409,0.024487766498799246,0.07401188819978088,-0.006606922394867432,0.19017769839958193
L2.Government_Debt_lag1,-0.9341212072335974,-0.5260895658389734,2.0628907388595232,0.10133851790427911,1.9239582106405353,-0.037741564048696635,-1.1539261063277264
L2.Trade_Balance_lag1,0.02421170848078058,-0.03605124738139885,0.12680540002217322,0.042950874223566554,0.7107669816478283,0.012919611180751574,0.009062738918189928
L2.Exchange_Rate_lag1,-11.416187028670828,-1.1083148858742584,1.0621251222083874,0.672416318810383,10.34672808760571,0.08143510757556789,-0.9153140513407332
L2.Reserves_lag1,3.088048063643474,-0.24054037806017098,-0.2779635383012311,0.13047561713130612,3.340519332094267,0.028196424976913853,0.536673300919389
