lag,aic,bic,hqic,fpe,status
1,-8.806217162501987,-6.029018190317184,-8.151992593096718,0.0001912085407628587,OK
2,-47.560185302437006,-42.33757311381989,-46.42674476283715,2.8118224786780395e-20,OK
