,coint_1,coint_2,coint_3,coint_4
GDP_Growth,0.9999999999999994,-7.458683988512737e-18,-8.961949573123088e-17,-3.068107788763705e-17
Capital_Formation_lag1,2.0118854640840174e-15,1.0,-2.464233812312585e-16,8.487960334616185e-18
Inflation_lag1,-9.115193526484526e-16,7.811051961050947e-17,0.9999999999999999,2.1193060174281212e-17
Exchange_Rate_lag1,-3.504621674914576e-15,-2.0596405993409513e-17,-5.4041455412199565e-16,0.9999999999999999
Government_Debt_lag1,24.172533681531984,-0.19592120358046666,3.7524917906204287,-0.15334049777113265
Trade_Balance_lag1,-4.0033897791364,0.143936760803687,-0.73355946338719,-0.16152543738779132
Reserves_lag1,-15.1154877013468,0.4237501669352259,-2.817745196846152,-0.7706409705704929
