,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
GDP_Growth,,0.016368891445946953,0.4063146593326814,0.3307903580681212,0.05796654986738962,0.07071411828519683,0.007417984441823497
Capital_Formation_lag1,0.5528817884873145,,0.008176671325296932,0.20981644145788,0.005858402214557217,0.6923862215672172,0.3078675539906859
Inflation_lag1,0.3446675572390605,0.22827442279381996,,0.12481082283859055,0.8574347673626019,0.11696823867451255,0.2412356422180009
Exchange_Rate_lag1,0.07384301594536852,0.02621365689364679,0.05517809329818631,,0.02990837593697838,0.05641503240286445,0.8443673832390299
Government_Debt_lag1,0.5944273414131962,0.3589001566114527,0.000462922850245335,0.6276106611756302,,0.10007358479329538,0.3978669804710305
Trade_Balance_lag1,0.06254169666879157,0.2991446525171083,0.029491743772602108,0.11752542473598146,8.877482448944501e-06,,0.10178889615309127
Reserves_lag1,0.2779527456719851,0.0973747225796599,0.1473431089055711,0.1322151872603126,0.000372539333661697,0.001659057032252111,
