lag,aic,bic,hqic,fpe,status
1,-27.16389101358873,-24.39920944436993,-26.46858134815332,1.9721491922719926e-12,OK
2,-34.05090073576821,-28.843652662921706,-32.824229668133334,1.3429791141959465e-14,OK
