,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,19.884849943460495,0.16408781511859127,4.01908355709829,9.284398853702669,-8.961920521762774,0.2446329122823809,1.2524301976787617
L1.GDP_Growth,0.16364152684941768,-0.06238021332176785,-0.06780764645433011,0.018511237605900233,-0.42935668562379115,-0.02084886820703842,-0.013025898179001516
L1.Capital_Formation_lag1,-1.2649187390641121,0.10376645225884608,-1.1212142351168304,-0.7658055564292843,5.887669193512628,-0.14055043111883364,0.7136496115027623
L1.Inflation_lag1,1.7849035707585348,0.16275772188856255,0.28189694652630254,-0.17388901457332698,0.6256539738805807,0.1063205876722744,-0.24455994070004475
L1.Government_Debt_lag1,-10.661701419675046,0.5510349553450524,0.7503329190611538,-0.2145500603250003,6.939234620777088,0.3968879314591676,0.7421930199756239
L1.Trade_Balance_lag1,-0.9052192318129633,0.07595155317832841,-0.05480385508134189,-0.10815032446071249,0.6841876179256888,0.002606522977293708,0.04919547043088826
L1.Exchange_Rate_lag1,24.557797447290106,-1.0360830466644582,0.18226342958013533,1.3439741475454485,-9.36031567656478,0.5907086948444084,-0.5782696891825352
L1.Reserves_lag1,7.876121448993149,0.19466908204049582,-0.08805182489128817,0.5234786268007208,-5.39682175324171,-0.13919152644337118,0.43699286270442933
L2.GDP_Growth,-0.08464524292935643,0.007336726197272263,-0.035925826254835806,-0.024482809758166024,0.36282600453924124,0.015726491735018843,0.02384503448251174
L2.Capital_Formation_lag1,7.958728621879576,0.1435507552761293,0.02714990151449198,-0.18545270679442366,0.07755816209500656,-0.01644714495860253,0.08352763273416838
L2.Inflation_lag1,1.1575283216620267,0.33818796182483507,0.6362492004557003,0.059814617373378676,0.43181159334197294,0.022663079158264435,-0.06749621825275255
L2.Government_Debt_lag1,1.9338341827983534,-0.7571021789703368,-0.9452024312749892,0.33235427286469693,-4.6231163474251185,-0.39155506729857026,-0.49625524346707317
L2.Trade_Balance_lag1,0.6955705560727801,-0.0342517378593674,0.12109984552593546,0.05526719252527543,-0.4660109532313783,-0.005758023650471694,-0.10704612869953432
L2.Exchange_Rate_lag1,-15.183445228508019,0.40283245041047844,-0.6476157942186066,-0.6484965493549009,13.162565333261798,0.3215779594098788,0.884460950909371
L2.Reserves_lag1,-10.565406806813334,0.12868382563959146,0.28207866317851815,-0.9609944417136728,2.2620600859104467,0.15754203383279103,0.04132366204984006
