lag,aic,bic,hqic,fpe,status
1,-15.11636547855737,-12.35168390933857,-14.42105581312196,3.3659962399161553e-07,OK
2,-21.327787083673243,-16.120539010826732,-20.10111601603836,4.50450745869982e-09,OK
