,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
GDP_Growth,,3.1085122348496533e-06,0.00622005700071811,0.6368121632457364,8.005000600497991e-07,0.001797492537882218,0.7180498672138964
Capital_Formation_lag1,0.47460344725715475,,0.356306519268112,0.386515694858227,0.2995176156765634,0.15538595464425511,0.4070299732512873
Inflation_lag1,0.2557583861597451,0.5878264510091807,,0.19033571032201835,0.6879794519731829,0.5111119586013915,0.025024434262818408
Exchange_Rate_lag1,0.3049361299371558,0.23500438579047614,0.274696725090215,,0.2374907846996419,0.0395976115427694,0.40763735950653934
Government_Debt_lag1,0.6259469257176553,0.616288958074902,0.5565703592432045,0.009837929324152892,,0.03703337563674343,0.10505972678342065
Trade_Balance_lag1,0.4343311601812033,0.42779273355731273,0.6432758095189206,0.015338240003881561,0.5462717552573404,,0.5139267350521521
Reserves_lag1,0.38520157848112224,0.02311725798803538,0.20540384289678315,0.31626015694190746,0.1885602485628131,0.29285394372296564,
