excluded_country,ATE,LB95,UB95,StdErr,p_value,n_obs
Angola,-0.2617190016562133,-0.8754848356076781,0.35204683229525136,0.31315158788261993,0.40329095662827097,143
DRC,-0.4554363661406099,-0.9537409394169114,0.04286820713569156,0.2542416989326663,0.07323683257106572,144
France,0.07771883276870893,-0.32329499732354006,0.47873266286095784,0.20460265252596213,0.7040548951893633,143
Germany,-0.36160459561002795,-0.9057359875109507,0.1825267962908948,0.27762315848299346,0.1927449867614115,143
Ghana,-0.4932696517897423,-1.0627290366690116,0.07618973308952687,0.29054584133743894,0.08955791364292853,143
Morocco,-0.35291927382787874,-0.9147783246797312,0.20893977702397354,0.2866680486395285,0.21828254455153795,143
Nigeria,-0.43230104880848574,-1.021252499266082,0.15665040164911037,0.3004909554987592,0.15024996169485272,143
