Y,T,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves,C_DRC,C_France,C_Germany,C_Ghana,C_Morocco,C_Nigeria
0.0979856188414613,1.1690733703195195,3.037912371926553,1.420946297526073,1.001645103140653,-0.0991110385424076,-1.2273660378911582,0,0,0,0,0,0
2.6257293223388536,-0.2120305573675081,2.554110996578736,1.14528530480263,-2.136711469144166,0.1251402714321035,-1.5162365662484607,0,0,0,0,0,0
-0.0933319807044301,0.6674954195580295,2.271009661937103,0.4262344896004896,-0.2968215666327163,0.3799981468372426,-1.833586824683858,0,0,0,0,0,0
2.025590595271713,0.4969103789989114,2.1845979443801364,0.0112805375852543,-0.7811616069086168,0.5819877979329136,-1.600208528194176,0,0,0,0,0,0
2.7240174030887983,0.9547826487763492,1.506955842616296,-0.3193838781759512,0.3181270238299439,0.6243963390140495,-1.1448000762526176,0,0,0,0,0,0
2.137816002826566,1.3380825495953574,0.9829398544698964,-0.8717572185185755,2.11181777972811,0.6402901523330459,-0.6524072784161438,0,0,0,0,0,0
2.447771890359016,1.5156187677388877,0.5467117942490475,-1.792472375466623,3.003743568953491,0.6098780325090749,-0.1041842206793649,0,0,0,0,0,0
1.8572524839394349,1.3994626613785055,0.4818574896669185,-1.6441099335404006,2.488405766099934,0.5923940815614988,0.0819565898818958,0,0,0,0,0,0
-0.4914649741728354,1.3344452571005945,0.4955338669483674,-0.973173747203307,1.1814132604115957,0.5841276927045999,0.3558233240956749,0,0,0,0,0,0
0.3876340516735091,0.9464057074775684,0.5709545874358996,-0.0664307141790164,-1.820587985478246,0.6049953206001434,0.1800977447055442,0,0,0,0,0,0
-0.0666116455723224,1.1092505657392375,0.6134712033228014,-0.7271653291511848,1.285537299032707,0.6601706788634676,0.3999947377269884,0,0,0,0,0,0
1.2453568094141676,1.16446747666798,0.5572284782955973,-1.0836939276615252,1.7510116598371863,0.6683576107635131,0.5899208986288628,0,0,0,0,0,0
0.2780806776318673,1.127866191673305,0.3461667557962596,-1.250989270220341,1.6107888691505678,0.6744274819585245,0.6744354673502069,0,0,0,0,0,0
0.2192959403412304,0.8015479379606049,0.225290349860525,-0.8949543675367925,0.8452776444448379,0.6785296493230806,0.67950084726793,0,0,0,0,0,0
-0.8227971298109714,0.2815846984325488,0.119541903525264,-0.5954428909330179,-0.5529594456100839,0.6853965562690939,0.591019548920609,0,0,0,0,0,0
-1.4801173740608218,0.4233335375628778,0.2572714166579688,-0.0010473594266483,-1.5548358660010198,0.7603591721075236,0.5156425164753508,0,0,0,0,0,0
-1.063280145999941,0.3077334882742766,1.2194822893541764,0.4657806075528451,-0.6271523581467294,0.8764954172956201,0.5090968100888783,0,0,0,0,0,0
-1.183521654094426,0.856903694979899,1.1964917869646072,0.3036754875369516,-0.2217216502753295,0.8816361774524474,0.3255247027785951,0,0,0,0,0,0
-1.0793123470792056,1.189906571471407,0.8563133526422284,0.8217506901571883,1.036474049857122,1.039599503302412,0.2509553609640241,0,0,0,0,0,0
-1.955311814050226,1.126261709231916,0.7447258199212309,1.164337443431021,0.8449148429165412,1.1770414423821955,0.2870427686709172,0,0,0,0,0,0
-0.4647446390407277,1.1840269013951792,0.9584468685004164,1.4305741092078703,0.0982692976822317,1.3497250708974842,0.1849657163607076,0,0,0,0,0,0
0.1017264657599562,1.6421392464812543,1.0765315034451246,0.6462297436134952,1.666297502979941,1.3827112625888272,0.1747794654713058,0,0,0,0,0,0
-0.7584011221425918,1.4587100866673253,0.9244563738701094,0.1782629668469155,1.3584604062203145,1.264410023900951,0.1461386910452026,0,0,0,0,0,0
0.1773450141838212,1.223275674037584,0.5662306329017284,0.5796908113829823,0.5521340095812216,1.4132447333388043,0.1705665616577313,0,0,0,0,0,0
-1.5869987145892528,-2.3696075298066925,3.5507504880816607,1.6416556972670795,0.0467514806641209,0.3148999979442028,-2.794885541373956,1,0,0,0,0,0
-0.2381561971204541,-1.7850715713277354,3.2704654230793446,2.123969106707921,0.5512270057604802,0.9638866748426193,-2.794885541373956,1,0,0,0,0,0
0.746488152497716,-1.540864462881478,1.062223982772563,1.6546953029218825,0.7306323615031265,1.157703463409255,-2.9175041591160933,1,0,0,0,0,0
1.0211731976557834,-0.8571941666282115,0.5173580169600748,1.3667998767161698,0.8036842632332792,1.216371993100703,-2.745204446232404,1,0,0,0,0,0
1.5827277607921602,-1.2661550455455466,-0.3420955043907969,1.967135088334436,0.2308732562746224,1.2110581226066912,-2.192352277248171,1,0,0,0,0,0
0.3392702450843941,-2.9895962082090928,0.9314246646247268,1.3304938244232196,0.0404024539189312,1.2751150910959232,-2.529274606895816,1,0,0,0,0,0
1.2533729099537998,-2.7932734202736054,0.5190700864241445,1.2629231139637935,-0.0789592488906352,1.2706351804627094,-2.4283011765188567,1,0,0,0,0,0
0.9519675296636244,-2.079428977249431,0.7254695680982389,0.8724316997513085,0.373817058423465,1.307561872854372,-2.346386353163518,1,0,0,0,0,0
-0.8749017833185815,-3.546570858034109,0.7852322355769789,0.7758865650261926,-0.2523783794163884,1.3372222774995493,-2.8766596814839227,1,0,0,0,0,0
1.0698042075962195,-3.1297870776983303,1.5545209381254066,0.9956543839882962,-1.2125326240532204,1.475975036439481,-1.8375561851209623,1,0,0,0,0,0
1.0030033697659504,-0.8695637613873951,1.0004056952099043,-0.7684863298963625,-1.868744446336689,1.5180300639325022,-1.497309332431701,1,0,0,0,0,0
1.29051417578743,-0.6381143690752095,0.6387660837521844,-0.903573740557036,-1.0197036117636016,1.5236075101633906,-1.5205671021336704,1,0,0,0,0,0
