Model,R2_Y_mean,R2_Y_std,MSE_Y_mean,R2_T_mean,R2_T_std,MSE_T_mean
XGBoost,0.3520227404801914,0.14771272325281015,0.5977519513156341,0.6805129638564262,0.12891124051268824,0.28680743025489286
RandomForest,0.3391741945183823,0.185063800795545,0.615403750881475,0.7212209749112244,0.08691618522727802,0.2559980054874199
GradientBoosting,0.30702104418683834,0.1734264691903272,0.6392260875191237,0.6632065125441403,0.133456400603677,0.2891710170962615
Ridge,0.2134875310693211,0.13406084251015893,0.7421818432803702,0.6587671128325285,0.1370277070879769,0.29624530225557266
LinearRegression,0.18815609512083312,0.15120815880480531,0.7703478426592854,0.6396374945949164,0.2052651269866043,0.29165168680801457
Lasso,-0.0686687281155324,0.054378926206861425,1.0122961888054287,-0.04899877242526309,0.05292430934193104,0.9925778195822511
