Group,n_LinearDML,splits,ATE,ATE_LB_95,ATE_UB_95,StdErr,p_value,X_dim,ATE_CF,HTE_std,n_CausalForest
Developing,119,5,-0.1982717991576869,-1.625075456451374,1.228531858136,0.7279744263405511,0.7853445030444687,9,-0.0533330093856882,0.0827691475298336,119
Developed,48,4,-0.1959772760529336,-6.110194599957157,5.718240047851288,3.0175132658328487,0.948216504528726,6,-0.2098114041942457,0.0975221631473708,48
