Country,Category,HTE,abs_HTE
Allemagne,Developed,-0.5769302800936359,0.5769302800936359
Allemagne,Developed,-0.5307299300936139,0.5307299300936139
Allemagne,Developed,-0.5132677120323498,0.5132677120323498
Allemagne,Developed,-0.480020774782215,0.480020774782215
Allemagne,Developed,-0.4631378341898186,0.4631378341898186
Allemagne,Developed,-0.4385283403685013,0.4385283403685013
Allemagne,Developed,-0.4361840190565364,0.4361840190565364
France,Developed,-0.3654625436877776,0.3654625436877776
Allemagne,Developed,-0.3431075404247873,0.3431075404247873
France,Developed,-0.3426758444671765,0.3426758444671765
