specification,ATE,LB95,UB95,StdErr,p_value,n_obs,n_features_X
country_FE_only (baseline),-0.34406316420130784,-0.8302350386929465,0.14210871029033062,0.24805143274391786,0.1654223076119825,167,11
country_FE + year_FE,-0.0749188557584858,-0.5114534737641163,0.3616157622471445,0.22272583651993594,0.7365899528219964,167,34
