Group,count,mean,std,min,max
Developed,48,-0.20981140419424568,0.09752216314737087,-0.4140053467207042,-0.0408769806504316
Developing,119,-0.05333300938568826,0.08276914752983355,-0.3213276728393337,0.0937355805691633
