Country,n_obs,n_splits,ATE,ATE_LB_95,ATE_UB_95,StdErr,p_value,treatment,outcome
"Congo, Dem. Rep.",23,3,0.5418657361985436,0.07798096789170267,1.005750504505384,0.23668025125252531,0.022053677236565372,Capital_Formation(t-1),GDP_Growth(t)
France,24,4,-3.7277979866471305,-6.952239811645589,-0.5033561616486755,1.6451536101849022,0.023455853095893476,Capital_Formation(t-1),GDP_Growth(t)
Ghana,24,4,0.30017537827643537,-0.30830979598264885,0.9086605525355195,0.31045732424612776,0.33360338067969897,Capital_Formation(t-1),GDP_Growth(t)
Maroc,24,4,1.7037943167891652,-2.5379240478434726,5.945512681421802,2.1641817901200073,0.43112411984400856,Capital_Formation(t-1),GDP_Growth(t)
Allemagne,24,4,0.4141131882855849,-1.2823771148766545,2.1106034914478253,0.8655721822155605,0.6323462496792056,Capital_Formation(t-1),GDP_Growth(t)
Angola,24,4,0.11302378705640104,-1.9625547226772455,2.1886022967900467,1.058988086569725,0.9150046888601866,Capital_Formation(t-1),GDP_Growth(t)
Nigeria,24,4,0.007561641867677373,-0.519566522065948,0.5346898058013024,0.2689478827629206,0.9775699200376683,Capital_Formation(t-1),GDP_Growth(t)
