,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
GDP_Growth,174.0,3.062684205862501e-17,1.0028860088867573,-2.82888507459125,-0.613844109077889,-0.11350583372917145,0.6368011767804138,2.7240174030887983,0.20649449046094467,0.684467320563932
Capital_Formation,174.0,-6.942084199955002e-16,1.0028860088867575,-3.546570858034109,-0.27253971850615977,0.16508357033025725,0.5745063457719854,1.6421392464812543,-1.256056897617708,1.5323675730801338
Inflation,174.0,0.0,1.0028860088867573,-1.8257410080975631,-0.8398218485046685,0.12168110618920899,0.6451811261389881,3.5507504880816607,0.6104778021992708,0.5790336636685933
Government_Debt,174.0,-1.2046557876392502e-15,1.0028860088867575,-3.183190613649621,-0.6795533673533383,0.27065282397255624,0.5925442102827128,2.123969106707921,-0.8259850606734607,0.6443089319746425
Trade_Balance,174.0,-3.317907889684376e-17,1.0028860088867575,-2.136711469144166,-0.7125467678695309,-0.1354655869228236,0.6489566674453647,3.5426924952685885,0.6255046888056005,0.6352451791695013
Exchange_Rate,174.0,1.8376105235175005e-16,1.0028860088867575,-1.2377116868422346,-1.0710215387125213,-0.18927472125750416,0.8620078180855317,1.8605594415641185,0.27168681421769764,-1.4168585595004246
Reserves,174.0,3.471042099977501e-16,1.0028860088867575,-2.9175041591160933,-0.44667980743360247,0.47632126836023936,0.7638796215520747,1.0122475212410749,-1.2800584965166673,0.6624888061008494
