lag,aic,bic,hqic,fpe,status
1,-26.32899071573937,-23.56430914652057,-25.63368105030396,4.544983996396818e-12,OK
2,-31.871860599717152,-26.66461252687065,-30.645189532082277,1.1869006442411276e-13,OK
