,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,-25.202272305115425,1.7838655337317377,15.850138656269614,-0.45828439027719786,-16.155093418980638,-4.988676079310175,-6.189925323955662
L1.GDP_Growth,-0.525426368449365,0.018767002960424564,0.09926465350019353,-0.023000031192758563,0.20086910064348273,0.007943762827969658,0.016268574808882885
L1.Capital_Formation_lag1,72.32968730606778,-0.5812793016417046,-6.6755951222351175,0.4854516645494553,-5.728023213501505,0.7704669890546633,2.7515633129129458
L1.Inflation_lag1,-1.037808743134201,0.008659475009039245,-0.05379206089221391,0.036062107786197964,0.617290846581593,-0.030014781329609323,-0.28530166527055545
L1.Government_Debt_lag1,73.17527170945266,-0.9682140194258754,8.020376482339602,1.4067345735198966,-14.328033827144301,-0.062405507447179306,-0.09413663451651236
L1.Trade_Balance_lag1,-2.34966058134158,0.05887309066109227,-0.20431149862748998,-0.02122345089126988,0.8847420493347341,0.05287963404427514,0.08326485613625167
L1.Exchange_Rate_lag1,21.37673001120786,-0.28755022169552213,2.597215847246627,-0.016294928684968204,-2.633089859227228,0.3766563960366148,-1.4306798607147093
L1.Reserves_lag1,-2.723849093554118,0.10807768442333324,1.2897451034996257,0.02334868803194809,-0.6976743259009216,-0.2515904994370628,0.21517809816002553
L2.GDP_Growth,0.3524623715660331,-0.011744613884151982,0.37310416851117295,-0.009024944541648969,-0.3732422243883505,-0.005204201813959645,-0.028444070598406743
L2.Capital_Formation_lag1,-40.65266998539746,0.41321088801240485,-5.442831599086019,0.049729651207100406,15.635078832411779,0.954610855939898,1.0672509129554726
L2.Inflation_lag1,-0.13494908474371764,0.027359200254693412,0.6113029197400324,-0.06641368925728654,-0.5394332645776269,-0.020726100769488533,0.06441233418581663
L2.Government_Debt_lag1,-69.22593660666611,1.020277776783207,-10.030022367914691,-0.5561266766798113,15.157568599134805,0.6843649970430615,1.4030527458044795
L2.Trade_Balance_lag1,1.5765036818761529,-0.00045683504473863906,0.3282000039600952,-0.02525567382700618,-0.5333600960070076,-0.00165196303939622,0.01380423134783852
L2.Exchange_Rate_lag1,-9.032672186016864,0.07436802921704687,-0.6792258619815371,0.12574337292534235,2.029026936566901,-0.021372146044968544,0.7641645533442928
L2.Reserves_lag1,-5.663661747919989,0.040500880940815824,1.6205715245290822,-0.06600415768383186,-1.0156963483190595,-0.048722802812178445,-0.2897530350961999
