source,target,lag,p_value,val,sign
Exchange_Rate,Capital_Formation,1,0.01956087824351297,0.6193144274026627,positive
GDP_Growth,Capital_Formation,3,0.04632839583989915,0.4610836231192268,positive
Capital_Formation,Exchange_Rate,1,0.01956087824351297,0.6476561149548767,positive
Government_Debt,Exchange_Rate,1,0.01956087824351297,1.3714238676699981,positive
GDP_Growth,Exchange_Rate,2,0.01956087824351297,0.6221966329164473,positive
Capital_Formation,Exchange_Rate,2,0.01956087824351297,0.6212358977451858,positive
GDP_Growth,Exchange_Rate,3,0.01956087824351297,0.6847906178788533,positive
Capital_Formation,Exchange_Rate,3,0.01956087824351297,0.6687296320810254,positive
GDP_Growth,Exchange_Rate,1,0.03451919690031701,0.6261022302430972,positive
Exchange_Rate,GDP_Growth,1,0.01956087824351297,0.66083489523892,positive
Exchange_Rate,GDP_Growth,2,0.01956087824351297,0.6981573680877088,positive
Capital_Formation,GDP_Growth,3,0.01956087824351297,0.49836622355972193,positive
Exchange_Rate,GDP_Growth,3,0.01956087824351297,0.723407994654125,positive
Capital_Formation,GDP_Growth,1,0.04632839583989915,0.3925125742850204,positive
