,coint_1
GDP_Growth,1.0
Capital_Formation_lag1,-237.26894241442537
Inflation_lag1,14.23934865651835
Exchange_Rate_lag1,27.06525125289856
Government_Debt_lag1,-38.159483609332895
Trade_Balance_lag1,2.663636990506483
Reserves_lag1,37.8480786237641
