,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,214.89618039358896,4.639642543271306,60.72404230274431,10.020122726950955,-35.61687405091633,4.5676875719610495,8.461247488480273
L1.GDP_Growth,-0.7754005473420449,0.016251528810276222,0.1723926378054066,-0.018755253105069758,-0.0975587971404912,0.00913004689071259,-0.0005689056492867856
L1.Capital_Formation_lag1,-15.42720009784756,0.16203647781981645,-1.3107865573750457,-0.01936377986531953,12.42658491958321,0.4799724666125393,0.0727774617471658
L1.Inflation_lag1,0.8241993896790447,0.0007337973110938855,0.5705318811705857,-0.07395505468342997,-0.11054844373700201,-0.01828009268724569,-0.01970124022895366
L1.Government_Debt_lag1,9.434975229402292,0.32313923807792616,1.8314465190310947,0.5134780292446429,-7.031531230510573,-0.848427701375624,0.2704136511421693
L1.Trade_Balance_lag1,-0.1309889454151576,0.0028289579755873887,-0.07525941618775445,-0.018254835640542255,0.2672641590562048,-0.004350713392036257,0.006184155401647372
L1.Exchange_Rate_lag1,11.359257004321956,0.02396383830331399,-3.1410085132970926,-0.15380168986749335,7.8703864351472514,0.25364734443092246,0.13184261610511494
L1.Reserves_lag1,-31.19488287305283,0.15263768662344687,-1.7584490418100622,0.033517813280467185,-4.18457143980206,-1.4394789855705883,0.21738687867955742
L2.GDP_Growth,-0.6989201390715123,0.020129849308001473,0.13634984659820099,-0.0073285259113813825,-0.5363060530402642,-0.012942795323292856,0.0085370207227188
L2.Capital_Formation_lag1,-17.220145633740728,0.5452693641170641,6.5105953294788605,0.09558985328606281,-28.985246772955374,0.5315891645076329,-0.11218677997111023
L2.Inflation_lag1,-2.262546261480317,0.031590756493123096,-0.06576759666592766,-0.016955850668936432,-0.27141276143245796,-0.11550283397066935,0.057441262084021984
L2.Government_Debt_lag1,0.42687458487255725,-0.5885902983274169,-2.837759526211782,0.1075507408733891,12.793699831840781,0.9487340347147077,-0.24423808031600364
L2.Trade_Balance_lag1,-0.18284925012044528,0.011080793245781657,-0.004331607192660791,-0.016420020848209996,0.22849972049757217,-0.008872590702718688,-0.013750439769591165
L2.Exchange_Rate_lag1,-5.908347360106828,0.06553852566562376,2.7513140845323147,-0.2902038143119836,-4.491101466852466,0.05473262619529506,-0.006653987176724793
L2.Reserves_lag1,16.85284011257013,-0.41518994750094834,-5.025569768648847,-0.830054826981926,10.458966022954932,0.6831233359772626,-0.01704126700962929
