lag,aic,bic,hqic,fpe,status
1,-26.879757300605625,-24.115075731386824,-26.184447635170216,2.620218265149653e-12,OK
2,-33.23072879608703,-28.023480723240525,-32.00405772845215,3.049758189964368e-14,OK
