,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
GDP_Growth,,0.6978456599505797,0.08618008877573952,0.0008070605740335254,0.01011202481601917,0.30076704332963344,0.47488633492563204
Capital_Formation_lag1,0.6192023911403776,,0.03789352553943213,0.1675122530908806,0.1470991462702458,0.25743140721008223,0.20491591699692172
Inflation_lag1,0.21108459998462578,0.5202114400871934,,0.1964153074238937,0.32372705967258986,0.22654458674349878,0.19642124819356332
Exchange_Rate_lag1,0.7953087552610099,0.31989422799543427,0.22281105520739078,,0.02422172745341368,0.06880584364322571,0.024950949705231505
Government_Debt_lag1,0.33521061817947406,0.7565877260552418,0.039867922374339004,0.004027854929175979,,0.4679563417481196,0.09771632393040781
Trade_Balance_lag1,0.49756373359858375,0.12378322475102438,0.02916564894705405,0.1376494422527929,0.012091371427467102,,0.4360065987203374
Reserves_lag1,0.28893708637806276,0.7986436259085882,0.20519348212947153,0.061281088408734447,0.010620052292098966,0.296402052272009,
