Country,Year,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
Angola,2001,4.206,3.422958873443668,5.606332175168051,2.495520375987708,4.772741829002517,6.291,7.088441130364001
Angola,2002,13.666,3.422958873443668,5.034260670726205,3.093669076519049,4.607377747530092,-11.00968,6.5953599544621575
Angola,2003,3.49,3.422958873443668,4.699507165113494,3.773455103236526,4.176032070315643,-0.867,6.053665931565744
Angola,2004,11.42,3.441283105201441,4.59732952820893,4.31222496521587,3.927108642846187,-3.537,6.452025866438596
Angola,2005,14.03384,3.43977686362963,3.796050829175725,4.42534186848834,3.7287489951943855,2.523,7.2293752771795665
Angola,2006,11.84,3.307655637253791,3.176427508603361,4.467735662238424,3.397390143319201,12.411,8.069854301271986
Angola,2007,13.0,3.21886638390918,2.6606091265020737,4.386616983577508,2.845069647327946,17.327879999999993,9.005631555886897
Angola,2008,10.79,3.2697590351827706,2.583922077885986,4.339981793171552,2.934069613161884,14.487,9.323360506212156
Angola,2009,2.0,3.477787983823868,2.6000937262635624,4.317932736898914,3.336552188168624,7.282,9.790831286684089
Angola,2010,5.29,3.716555489525625,2.689275045775876,4.373593256832152,3.880491057814984,-9.267,9.490880385446614
Angola,2011,3.59,3.337831506040336,2.739548868161581,4.52076327269654,3.4841282223537973,7.856,9.866228706761625
Angola,2012,8.5,3.275482975679492,2.6730445919033947,4.542600392300913,3.270253115727949,10.422,10.190418977346043
Angola,2013,4.88,3.2829392331575358,2.423474410269499,4.558790645852169,3.169895642646482,9.649,10.334679256035372
Angola,2014,4.66,3.262969262378712,2.2805439621171653,4.569732415060787,3.383474590007584,5.429,10.343325494543755
Angola,2015,0.76,3.31498568484309,2.155501587560233,4.588048613378176,3.563146148648173,-2.279,10.19229429422534
Angola,2016,-1.7,3.5447203584143305,2.318360012109408,4.7879974620929655,3.919713358712152,-7.802,10.063631131508624
Angola,2017,-0.14,3.339889192933751,3.4561273885206165,5.097769316499278,4.199755076629969,-2.688,10.052458082390377
Angola,2018,-0.59,3.489482946529516,3.4289422419707143,5.111481338997158,4.102511124888494,-0.453,9.739113723413835
Angola,2019,-0.2,3.427514689979529,3.0266978528108712,5.532819159050493,4.413295139589064,6.483,9.611829230401533
Angola,2020,-3.4784,3.429169164736904,2.8947510436998773,5.899419993036365,4.618806783511,5.427,9.673427834899377
Angola,2021,2.1,3.580124294276899,3.147465748579922,6.360021485224736,4.77851738041304,1.311,9.499189662276043
Angola,2022,4.22,3.5863205657861994,3.2870950638453444,6.448006022295655,4.308003274325095,9.955,9.481802466028856
Angola,2023,1.001,3.514109313472816,3.1072736482868986,6.132459450012782,4.027278404857425,8.258,9.432914727937089
Angola,2024,4.503,3.526595791056489,2.6836892001892747,6.529448382003102,4.268087763241184,3.813,9.474611342800843
DRC,2001,-2.1,1.7860766860925568,6.212738207877353,3.59981788715162,4.905141436215417,1.027,4.412798293340635
DRC,2002,2.948,1.6345206928015634,5.881314803606995,5.330869257567532,5.194472593105051,3.808,4.412798293340635
DRC,2003,6.633,1.6576564847045747,3.270177119223751,5.847839527375399,4.912963661589293,4.797,4.203497148749768
DRC,2004,7.661,2.3014844875500127,2.6258997180745327,6.00432692894738,4.740260363076607,5.19971,4.497600342728614
DRC,2005,9.7626,2.3149088426828777,1.6096378924367667,5.990153166791225,5.100390680623585,2.042,5.441279156669271
DRC,2006,5.109,2.835446143620649,3.115513311873048,6.161013227613907,4.718481013992797,0.992,4.866177018576583
DRC,2007,8.53,1.8684118207491376,2.627924156622925,6.149063898425784,4.677946557669583,0.334,5.038531388086827
DRC,2008,7.402,1.7688319645843504,2.871981466117816,6.247558988918249,4.4436977675300975,2.83,5.178354088773978
DRC,2009,0.565,1.5541769975596802,2.942647902461536,6.326672607018242,4.385782074175299,-0.622,4.2732157288157016
DRC,2010,7.843,2.4557352724877206,3.852294232219494,6.69676980941359,4.5176168439801305,-5.915,6.046890519331635
DRC,2011,7.593,3.2541266070653045,3.1970800124977434,6.808943780877211,3.459340495710866,-9.53247,6.627667378691304
DRC,2012,8.669,3.0323052537848314,2.769458829230853,6.823820582335666,3.3783039828488457,-4.852,6.587968041764428
DRC,2013,9.624,2.5081347759072075,0.6189622823705687,6.824107348350728,3.223982762236345,-4.198,6.994927892972383
DRC,2014,7.302,2.677590993617501,0.6291418505840329,6.823901718859993,3.170861359766441,-8.908,7.035355831391758
DRC,2015,6.36,2.7586165646728977,0.8064758658669484,6.830038337359764,3.125619534388413,-4.492,6.953641134489086
DRC,2016,0.394,2.8070505336073537,0.567967295614495,6.830857993996367,3.2380115631766766,-3.69,6.6415541052637375
DRC,2017,3.658,2.5004518611234627,1.4334164681886254,6.918005324489307,3.4958709952648364,-3.871,6.178615027072597
DRC,2018,4.825,2.515678308454754,3.603702756706343,7.289213126211693,3.1432898379116057,-3.146,6.406256257658974
