Country,Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
Angola,2020,-3.4784,3.580124294276899,3.147465748579922,4.77851738041304,1.311,6.360021485224736,9.499189662276045
Angola,2021,2.1,3.5863205657861994,3.2870950638453444,4.308003274325095,9.955,6.448006022295655,9.481802466028856
Angola,2022,4.22,3.514109313472816,3.1072736482868986,4.027278404857425,8.258,6.132459450012782,9.432914727937089
Angola,2023,1.001,3.526595791056489,2.6836892001892747,4.2680877632411836,3.813,6.529448382003102,9.474611342800843
Angola,2024,4.503,3.50819655398849,3.375263999635651,4.135182556614357,5.414,6.71098807753826,9.518823355173884
DRC,2000,-6.747719999999999,1.7860766860925568,6.212738207877353,4.905141436215417,1.027,3.59981788715162,4.412798293340635
DRC,2001,-2.1,1.6345206928015634,5.881314803606995,5.194472593105051,3.808,5.330869257567532,4.412798293340635
DRC,2002,2.948,1.6576564847045747,3.270177119223751,4.912963661589293,4.797,5.847839527375399,4.203497148749768
DRC,2003,6.633,2.3014844875500127,2.6258997180745327,4.740260363076607,5.19971,6.00432692894738,4.497600342728614
DRC,2004,7.661,2.3149088426828777,1.6096378924367667,5.100390680623585,2.042,5.990153166791225,5.441279156669271
DRC,2005,9.7626,2.835446143620649,3.1155133118730474,4.718481013992797,0.992,6.161013227613907,4.866177018576583
DRC,2006,5.109,1.8684118207491376,2.627924156622925,4.677946557669583,0.334,6.1490638984257835,5.038531388086827
DRC,2007,8.53,1.7688319645843504,2.8719814661178162,4.4436977675300975,2.83,6.247558988918249,5.178354088773978
DRC,2008,7.402,1.5541769975596802,2.9426479024615357,4.385782074175299,-0.622,6.326672607018242,4.2732157288157016
DRC,2009,0.565,2.4557352724877206,3.852294232219494,4.5176168439801305,-5.915,6.69676980941359,6.046890519331635
DRC,2010,7.843,3.2541266070653045,3.1970800124977434,3.459340495710866,-9.53247,6.808943780877211,6.627667378691304
DRC,2011,7.593,3.0323052537848314,2.7694588292308535,3.3783039828488457,-4.852,6.823820582335666,6.5879680417644275
DRC,2012,8.669,2.5081347759072075,0.6189622823705687,3.2239827622363455,-4.198,6.824107348350728,6.994927892972383
DRC,2013,9.624,2.6775909936175015,0.6291418505840329,3.170861359766441,-8.908,6.823901718859993,7.035355831391758
