Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
2000,2.881,3.1669176974892976,0.8808707866428946,4.081580108770963,-1.19976,0.0794626145222072,10.782436378994804
2001,1.633,3.125224268786745,1.0647107369924282,4.064138290887791,-0.173,0.1028446306505465,10.68532861887364
2002,-0.229,3.003303539050309,0.8441500540964727,4.091390202395664,1.954,0.0559634187884673,10.657151631463488
2003,-0.536,2.974355407794406,0.7294791098073357,4.148580190363775,1.499,-0.1232440015415973,10.623653808104605
2004,1.171,2.945543631970704,1.0224509277025458,4.1738486633347,4.514,-0.2182534676022543,10.594097341639417
2005,0.883,2.930446806855361,1.074319596099065,4.206482062158951,4.651,-0.2184045579008269,10.59075065581692
2006,3.862,2.990619224167168,1.020650747198398,4.195651874738817,5.81,-0.2276126090064076,10.537916123371488
2007,2.887,3.0343277913133537,1.1850957485562468,4.153980460117975,6.672,-0.3151596127109035,10.615660980656116
2008,0.91,3.039701310936114,1.3228219381643171,4.176845783733844,5.6,-0.3730471307037385,10.559894163841728
2009,-5.20048,2.9015082516700037,0.2421816533356336,4.28132193055225,5.803,-0.3327384331266675,10.516734556931103
2010,4.0786,2.973282144716399,0.750944279286162,4.390963468147563,5.742,-0.2819531937182198,10.528252701793978
2011,3.764,3.0583783802042617,1.2476068413459973,4.362563449760617,6.29,-0.3307094155035119,10.547532694048726
2012,0.469,2.970619572738916,1.1502555218199482,4.379573628512815,7.188,-0.2505942471377104,10.544404526258882
2013,0.386,2.986237338992189,0.9582001349513648,4.349438874768138,6.708,-0.2837629320557902,10.56424399646093
2014,2.172,3.003601231932686,0.5704144151776482,4.311067545733388,7.233,-0.2840510765929425,10.524260488705917
2015,1.656,2.968463846399797,0.5187937934151675,4.265717512273499,8.105,-0.1039210817322116,10.501953968668325
2016,2.289,2.9823937091148105,0.3126185577418125,4.223646188651334,8.79204,-0.1015661276202308,10.51559064274789
2017,2.713,3.0210588315,0.9939922395380072,4.159289250862483,8.067,-0.1219354481976571,10.530392080751383
2018,1.116,3.06670318742457,1.0767074532800598,4.107737804333096,8.428,-0.1663230181024169,10.502468960707713
2019,0.993,3.05870707271538,0.856116008838085,4.072456762464071,7.878,-0.112859387528936,10.49110020229849
2020,-4.1,3.07579036572457,0.3155404005801773,4.220022278642822,6.32,-0.1329528206147367,10.515803906188143
2021,3.67,3.1117804719166577,1.437937594271729,4.220639417489257,6.92,-0.1678340427900008,10.51808538106174
2022,1.367,3.1364068428367595,2.192191885198815,4.174341114984362,3.845,-0.0516894221442748,10.510433200820945
2023,-0.264,3.076067246206265,1.9501867058225733,4.1411963409993335,5.562,-0.0781350068159036,10.515437692770217
2024,-0.232,3.0468055437379915,1.249615162204637,4.157131550320866,5.729,-0.0791627533195476,10.476115320761044
