,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Government_Debt_lag1,Trade_Balance_lag1,Exchange_Rate_lag1,Reserves_lag1
const,4.948128890986567,5.133083208409877,29.00645509942533,-0.2034247330188085,7.099521936684674,-1.3603213848933793,4.761297600217701
L1.GDP_Growth,-0.7888930128005835,0.008148197085758077,0.07799542509692237,-0.016347207929137242,-0.148837334538507,0.004961633561132717,-0.024303806445988507
L1.Capital_Formation_lag1,26.1479586288104,-0.28633529035017874,-4.285330285388256,0.11818400871329096,-20.741432481509477,0.31108005310427,-1.8616367439726018
L1.Inflation_lag1,-0.659689323153644,0.04870206730534269,-0.1965180536884408,-0.05835251127357583,0.11024303034724803,-0.09733523933886047,0.15196135672239097
L1.Government_Debt_lag1,49.80494110820191,-1.03547205817226,1.0333383676012788,1.2572232332845068,-6.329097177603698,0.04086582584876568,-1.3930116562506305
L1.Trade_Balance_lag1,0.45468187735667437,-0.010074483459788548,-0.030809534158523055,-0.014996156955499468,-0.09011132743887491,-0.016748678654539738,0.00894203418806036
L1.Exchange_Rate_lag1,21.515102299308378,-0.06043483428782014,2.6771676585850526,0.2672435071399962,-2.286192052625052,0.8237691127274851,-0.7530468798675708
L1.Reserves_lag1,3.6308963589541303,0.26618534439583197,-0.96714126766548,-0.0171308538973836,1.4842537526144228,0.006532074370142443,0.5999633363282073
L2.GDP_Growth,0.40935066366236894,-0.004586966970262306,0.05698387174697561,0.0012754878830097197,-0.2521559659377867,0.005766876264950871,-0.03697077431640324
L2.Capital_Formation_lag1,0.4904598160839303,-0.9791123413389146,-11.213128087707265,0.2242163165147092,26.67974806453223,0.25463898118986833,0.9733916957455188
L2.Inflation_lag1,1.2021832909639663,0.0210291938527502,0.7420281040073359,-0.05310359155591465,0.5015057542792393,-0.037297353084523,0.10076865947527301
L2.Government_Debt_lag1,-44.400380956478884,0.06266698731422417,-2.7276019956039677,-0.23046296624450077,22.392302834930064,0.74375655358687,1.2961286966800136
L2.Trade_Balance_lag1,1.1796864650545382,-0.04521037245996075,-0.2659742975543532,0.019773361802568844,0.8571024231980234,0.024158712515947697,-0.02734661465620568
L2.Exchange_Rate_lag1,-38.86627926993235,0.6027449885221263,-2.689389430367707,-0.21815540714107456,-10.920075829835756,-0.7341893720530807,0.7116645499251488
L2.Reserves_lag1,-10.816760314979136,0.246401611565292,3.9763687304071516,-0.08510858285487444,-7.800405978934309,-0.17045710278203818,0.2793505630897838
