lag,aic,bic,hqic,fpe,status
1,-22.5382507069349,-19.773569137716102,-21.84294104149949,2.0129353487868061e-10,OK
2,-31.203608033916815,-25.99635996107031,-29.97693696628194,2.315435925756798e-13,OK
