,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
GDP_Growth,,0.006453041709920826,0.023879230307566078,0.010970939862336306,0.00030528260032592524,0.003116539421960554,0.03211978006983208
Capital_Formation_lag1,0.18824868827377908,,0.02645725935748893,0.08917463766023066,0.8588184159319661,0.17795728610038278,0.09266807869771516
Inflation_lag1,0.028153913273192204,0.043790321362766324,,0.03409171972787303,0.07260854379157462,0.5236245362109684,0.00014728540289406662
Exchange_Rate_lag1,0.03599046801994962,0.012952029327646403,0.027206725648092206,,0.36246289261728915,0.1506156657429304,0.3079231226899026
Government_Debt_lag1,0.0029592478115359343,0.09171526252863998,0.03369241743951493,0.0002497461730540583,,0.5053944131890376,0.0043174197754002165
Trade_Balance_lag1,0.11874578752701621,0.23072495061800047,0.02146967810954588,0.031209320913609104,0.46577347610739045,,0.14074668808017335
Reserves_lag1,0.0011660516566168691,0.2536705451591537,0.026790581459241528,0.01424864317592239,0.024407863123680474,0.06902978885297176,
