variable,count,mean,std,min,max
GDP_Growth,22,0.327020168064971,1.8486202877320739,-3.3513093730899,4.034970133250391
Capital_Formation_lag1,22,-0.0019485337821055467,0.03542308986151037,-0.06594908975388947,0.06867176828434385
Inflation_lag1,22,-0.01664987763687417,0.25960737449753746,-0.5349367982972841,0.5316562444120818
Exchange_Rate_lag1,22,0.010550487840144916,0.05482511118402977,-0.1251045780883308,0.1430001950576198
Government_Debt_lag1,22,0.003931086683746653,0.03529185950412923,-0.06333990551435331,0.07537925127715628
Trade_Balance_lag1,22,-0.08433577023640759,0.9671195566069467,-2.682865051363694,1.4763115357435836
Reserves_lag1,22,-0.0037337623292863498,0.022333017502005996,-0.039974189466322585,0.0496848973493389
