,coint_1,coint_2,coint_3,coint_4,coint_5,coint_6
GDP_Growth,0.9999999999999997,4.604450982857656e-18,-5.555504140240745e-17,7.455023123874475e-18,2.6039878592301872e-18,3.009340337195912e-17
Capital_Formation_lag1,2.814838861800803e-16,1.0,5.416452947324918e-16,-2.1239191744374104e-16,6.580938752468442e-17,-1.000879942572873e-15
Inflation_lag1,-4.077962798817407e-16,2.0114645006763943e-18,0.9999999999999997,2.6216772736187247e-18,-6.816065553240065e-17,-1.9428124014497335e-16
Exchange_Rate_lag1,3.6286771112446747e-16,-4.154241772427197e-17,1.8940965790081987e-16,1.0,-3.3203921341529545e-17,-5.408202632454514e-16
Government_Debt_lag1,2.0043498105794932e-17,-2.0672892445474897e-18,-3.565016281779231e-16,-1.2246946984676808e-17,1.0,-1.3236547801623575e-16
Trade_Balance_lag1,1.315874767591141e-16,-1.468243167201272e-17,-4.1604910064530274e-17,-1.1514840948043801e-17,-2.074861300425413e-18,1.0
Reserves_lag1,-19.26436861336663,0.35928922850616013,-19.710534328205572,2.9218848461207547,1.276941744079793,50.97667155914453
